id,comms_num
01-28,27953
01-29,161335
01-30,122047
01-31,85414
02-01,63682
02-02,34389
02-03,135639
02-04,52330
02-05,18941
02-06,23835
02-07,19865
02-08,47669
02-09,47533
02-10,59720
02-11,33737
02-12,9723
02-13,15157
02-14,5965
02-15,1696
02-16,2804
02-17,6142
02-18,78156
02-19,4403
02-20,10445
02-21,5755
02-22,28361
02-23,5788
02-24,1469
02-25,168920
02-26,76791
02-27,9529
02-28,7453
03-01,54843
03-02,7304
03-03,41099
03-04,52523
03-05,56511
03-06,5229
03-07,4145
03-08,82464
03-09,75329
03-10,100751
03-11,136748
03-12,91197
03-13,3331
03-14,6655
03-15,2656
03-16,60609
03-17,5122
03-18,10967
03-19,68066
03-20,3865
03-21,3064
03-22,1840
03-23,40491
03-24,7713
03-25,71335
03-26,1891
03-27,2357
03-28,816
03-29,27385
03-30,35755
03-31,17229
04-01,28016
04-02,269
04-03,282
04-04,1523
04-05,24111
04-06,816
04-07,887
04-08,27832
04-09,476
04-10,60
04-11,2312
04-12,34152
04-13,25587
04-14,40036
04-15,26636
04-16,27104
04-17,1597
04-18,660
04-19,1080
04-20,73
04-21,208
04-23,14
04-24,1442
04-25,106
04-26,851
04-27,1708
04-28,244
04-29,105
04-30,248
05-01,237
05-06,627
05-07,799
05-08,1612
05-09,55
05-10,900
05-11,45
05-12,221
05-13,80
05-14,1983
05-15,760
05-16,496
05-17,156
05-18,1526
05-19,320
05-20,452
05-22,66
05-23,7
05-24,1600
05-25,81
05-26,3656
05-27,1435
05-28,124
05-30,2883
05-31,724
06-01,880
